SIZE,BOX NO
A70620,AZ2
A70646,AZ2
A71692,AZ2
A71877,AZ2
B72025,AZ2
B86050,AZ2
B87618,AZ2
B87663,AZ2
C87646,AZ2
C88399,AZ2
C70399,AZ3
E72222,AZ3
E87775,AZ3
C71723,AZ4
D71325,AZ4
D72396,AZ4
E72003,AZ4
E72127,AZ4
E72142,AZ4
E72189,AZ4
E72284,AZ4
E87796,AZ4
B71442,AZ5
B71891,AZ5
C70368,AZ5
C70986,AZ5
C70988,AZ5
C71050,AZ5
C71794,AZ5
C72196,AZ5
C72402,AZ5
C87810,AZ5
D71396,AZ5
D71950,AZ5
D71967,AZ5
D72045,AZ5
D72227,AZ5
D86109,AZ5
D86501,AZ5
D87001,AZ5
D87658,AZ5
D87788,AZ5
D88357,AZ5
D88374,AZ5
E71990,AZ5
E72008,AZ5
E72069,AZ5
E72202,AZ5
E72403,AZ5
E86121,AZ5
E87614,AZ5
E88361,AZ5
D71906,AZ6
E71033,AZ6
E71420,AZ6
E71558,AZ6
E71881,AZ6
E71898,AZ6
E71911,AZ6
E71991,AZ6
E72049,AZ6
E72086,AZ6
E72126,AZ6
E72248,AZ6
E72419,AZ6
E87848,AZ6
A70637,AZ7
A70647,AZ7
A71621,AZ7
A71624,AZ7
A71651,AZ7
B70773,AZ7
B71383,AZ7
B71749,AZ7
B71750,AZ7
B71863,AZ7
B72022,AZ7
B72516,AZ7
B86800,AZ7
B86802,AZ7
B87625,AZ7
B88354,AZ7
C72165,AZ7
C87617,AZ7
C87621,AZ7
C87634,AZ7
C87671,AZ7
C87675,AZ7
C87725,AZ7
B72682,AZ10
C70443,AZ10
C71799,AZ10
C71850,AZ10
C71903,AZ10
D71321,AZ10
D71626,AZ10
D71660,AZ10
D71717,AZ10
D71862,AZ10
D71949,AZ10
D72220,AZ10
D72231,AZ10
E70735,AZ10
E71531,AZ10
E72044,AZ10
E72279,AZ10
E92493,AZ10
C71730,AZ11
C87864,AZ11
E72244,AZ11
D86801,AZ12
D71762,AZ13
E71040,AZ13
E71478,AZ13
E71713,AZ13
E71725,AZ13
E71962,AZ13
E72281,AZ13
E72595,AZ13
E88412,AZ13
D71823,AZ14
D71842,AZ14
E71200,AZ14
E71599,AZ14
E71714,AZ14
E71878,AZ14
E72051,AZ14
E72088,AZ14
E71988,AZ17
E72017,AZ17
